M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
0.0001	0.1	1e+05	0.24543	0.12047	0.17619	0.20952
0.0001	0.1	1e+06	0.2432	0.078968	0.1619	0.18571
0.0001	1	10	0.48987	0.49543	0.62381	0.62857
0.0001	1	100	0.38566	0.43487	0.53333	0.53333
0.0001	1	1000	0.26279	0.1854	0.25714	0.27143
0.0001	1	10000	0.24363	0.10174	0.17143	0.2
0.0001	1	1e+05	0.24719	0.13434	0.18095	0.21905
0.0001	1	1e+06	0.24441	0.10866	0.17619	0.20476
0.0001	10	10	0.48693	0.49916	0.62857	0.63333
0.0001	10	100	0.36644	0.41973	0.52857	0.54286
0.0001	10	1000	0.25941	0.16172	0.24762	0.27143
0.0001	10	10000	0.24285	0.09166	0.17143	0.19048
0.0001	10	1e+05	0.24323	0.095647	0.17143	0.19524
0.0001	10	1e+06	0.2486	0.14438	0.18571	0.22381
0.0001	100	10	0.49397	0.52222	0.60476	0.63333
0.0001	100	100	0.32455	0.3146	0.44762	0.45238
0.0001	100	1000	0.24383	0.10287	0.17143	0.2
0.0001	100	10000	0.245	0.10727	0.17143	0.20476
0.0001	100	1e+05	0.25119	0.16881	0.18571	0.2381
0.0001	100	1e+06	0.24527	0.11938	0.17619	0.20952
0.0001	1000	10	0.48693	0.49916	0.62857	0.63333
0.0001	1000	100	0.36618	0.41044	0.53333	0.54762
0.0001	1000	1000	0.26393	0.17688	0.24762	0.27143
0.0001	1000	10000	0.24351	0.091539	0.16667	0.19524
0.0001	1000	1e+05	0.24611	0.12842	0.17619	0.21429
0.0001	1000	1e+06	0.24378	0.086866	0.16667	0.19048
0.0001	10000	10	0.49527	0.53139	0.6381	0.64286
0.0001	10000	100	0.37357	0.3884	0.50476	0.50952
0.0001	10000	1000	0.27463	0.19636	0.29524	0.30952
0.0001	10000	10000	0.24622	0.12881	0.17619	0.21429
0.0001	10000	1e+05	0.24707	0.12362	0.16667	0.20952
0.0001	10000	1e+06	0.24375	0.10206	0.17619	0.2
0.0001	1e+05	10	0.51293	0.52139	0.6381	0.64286
0.0001	1e+05	100	0.37017	0.38996	0.50476	0.50952
