0.3947	0.35708	0.26888	0.83987
0.39558	0.39355	0.27435	0.84038
0.3907	0.3663	0.2648	0.83837
0.36977	0.35792	0.24476	0.83523
0.19961	0.24392	0.15831	0.81923
0.10408	0.14376	0.092594	0.80692


==
1e-05	1e-10	0.37679	0.38181	0.26146	0.83905
1e-05	1e-09	0.39079	0.38642	0.27429	0.84088
1e-05	1e-08	0.38395	0.38265	0.26784	0.8387
1e-05	1e-07	0.34152	0.35666	0.24347	0.83514
1e-05	1e-06	0.12461	0.15633	0.10079	0.80821
1e-05	1e-05	0.097098	0.12867	0.091911	0.80684
1e-05	0.0001	0.085098	0.12573	0.08654	0.80567
1e-05	0.001	0.096772	0.13537	0.090457	0.80657
1e-05	0.01	0.10131	0.13747	0.091561	0.80649
0.0001	1e-10	0.52277	0.29505	0.29729	0.84971
0.0001	1e-09	0.51817	0.32481	0.30506	0.85051
0.0001	1e-08	0.52627	0.32272	0.29876	0.84989
0.0001	1e-07	0.52008	0.32858	0.30603	0.85085
0.0001	1e-06	0.53336	0.35122	0.33993	0.85671
0.0001	1e-05	0.094381	0.13118	0.091065	0.80661
0.0001	0.0001	0.091713	0.14082	0.089665	0.80627
0.0001	0.001	0.086089	0.1249	0.089779	0.80617
0.0001	0.01	0.083528	0.12783	0.088082	0.80601
0.001	1e-10	0.50114	0.32691	0.30361	0.85034
0.001	1e-09	0.49789	0.31894	0.29763	0.8497
0.001	1e-08	0.49523	0.30595	0.2819	0.84663
0.001	1e-07	0.50512	0.32649	0.29324	0.84852
0.001	1e-06	0.50053	0.31936	0.29592	0.84913
0.001	1e-05	0.51363	0.30805	0.29907	0.85024
0.001	0.0001	0.23887	0.28416	0.17021	0.82151
0.001	0.001	0.083732	0.12867	0.086829	0.80559
0.001	0.01	0.089858	0.12531	0.089628	0.80632
0.01	1e-10	0.50222	0.32775	0.29043	0.84849
0.01	1e-09	0.50136	0.32607	0.28171	0.84634
0.01	1e-08	0.49775	0.30218	0.2845	0.84647
0.01	1e-07	0.51879	0.33738	0.31571	0.8525
0.01	1e-06	0.50632	0.30972	0.28664	0.84772
0.01	1e-05	0.50689	0.31182	0.28577	0.84763
0.01	0.0001	0.52084	0.31894	0.30042	0.8505
0.01	0.001	0.12362	0.15549	0.10164	0.80839
0.01	0.01	0.095534	0.13495	0.091456	0.80611
0.1	1e-10	0.50865	0.32565	0.29037	0.84884
0.1	1e-09	0.50247	0.30805	0.27866	0.84562
0.1	1e-08	0.51307	0.34158	0.30218	0.85023
0.1	1e-07	0.49975	0.33277	0.29338	0.84883
0.1	1e-06	0.50329	0.3135	0.29172	0.84812
0.1	1e-05	0.49816	0.30637	0.27972	0.8461
0.1	0.0001	0.51466	0.35331	0.30994	0.85177
0.1	0.001	0.51189	0.32733	0.29702	0.84961
0.1	0.01	0.18781	0.22506	0.13422	0.81454
1	1e-10	0.49862	0.29254	0.27608	0.84559
1	1e-09	0.50229	0.32188	0.2877	0.84787
1	1e-08	0.50047	0.32691	0.29735	0.84957
1	1e-07	0.49787	0.33613	0.29445	0.84892
1	1e-06	0.50007	0.32523	0.29493	0.84921
1	1e-05	0.4986	0.29966	0.27835	0.84548
1	0.0001	0.49785	0.32188	0.28191	0.84684
1	0.001	0.50152	0.32355	0.28458	0.84702
1	0.01	0.50311	0.30218	0.27961	0.84637
