M	S	R	C	V	1
1	50	0.29429	0.74228	0.5225	0.63	0.40414
100	50	0.40488	0.78174	0.5475	0.6875	0.45308
0.01	100	0.12447	0.62881	0.41	0.5925	0.56596
1	100	0.24866	0.69838	0.4625	0.565	0.62297
100	100	0.43855	0.78873	0.555	0.6975	0.71816
0.01	27	0.12301	0.29581	0.22478	0.42507	0.52642
1	27	0.1217	0.2929	0.2219	0.43804	0.55435
100	27	0.1222	0.28349	0.22046	0.40634	0.73315
0.01	50	0.11885	0.31106	0.2219	0.3098	0.68963
1	50	0.11869	0.30449	0.22334	0.31988	1.0553
100	50	0.11827	0.29386	0.20749	0.42219	1.2868
0.01	100	0.11067	0.29992	0.2147	0.34294	0.682
1	100	0.10847	0.29655	0.20029	0.35591	0.81449
100	100	0.11516	0.27424	0.21614	0.52594	0.85772
0.01	5	0.38958	0.16199	0.4359	0.67179	0.235
1	5	0.38958	0.16199	0.4359	0.67179	0.21273
100	5	0.38958	0.16199	0.4359	0.67179	0.21269
0.01	50	0.31656	0.11034	0.35897	0.48718	0.31288
1	50	0.37222	0.16774	0.43077	0.64615	0.29827
100	50	0.3856	0.12914	0.44103	0.64615	0.30769
0.01	100	0.33141	0.072213	0.33333	0.58462	0.27001
1	100	0.35293	0.15285	0.39487	0.62564	0.29413
